dataset,dataset_id,method,prediction_result_layer,matrix_mode,folds,ARI,ARI_sd,AMI,AMI_sd,NMI,NMI_sd,homogeneity,homogeneity_sd,n_clusters_mean,predicted_test_genes_min,predicted_test_genes_max,ARI_rank,AMI_rank,NMI_rank,homogeneity_rank
MHPR/MERFISH,MHPR_current_panel,GeneSPT,validation_selected_readout_genespt57,protocol_a_completed_outer_fold_matrix,5,0.4170824671900455,0.02997053713134481,0.5778769399930198,0.019552403221039506,0.5807601585506669,0.019552947536662462,0.5901771448511843,0.02236415749827408,10.6,30,31,4,4,4,5
MHPR/MERFISH,MHPR_current_panel,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.4104007961010046,0.07400669275405564,0.5611381884095524,0.03112271520464336,0.5647221968438789,0.03066321665237759,0.6006725793869904,0.021604079014862432,13.0,30,31,5,5,5,4
MHPR/MERFISH,MHPR_current_panel,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.3420571370464148,0.025236228903085797,0.5454948336596103,0.02734299578389547,0.549011132508193,0.027024173957005893,0.5812718634487657,0.027710361460725908,12.2,30,31,7,7,7,7
MHPR/MERFISH,MHPR_current_panel,Tangram,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.358445554050563,0.04760593909945234,0.5474422039483858,0.036371678101285235,0.5510495786219874,0.03582667851541503,0.585957914260464,0.029015871226264627,12.6,30,31,6,6,6,6
MHPR/MERFISH,MHPR_current_panel,TransImp,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.4288857646993776,0.044151040185219675,0.5856690065191833,0.0245226096604534,0.5890687929425799,0.024309705830567907,0.6170254562227305,0.017174800020312967,12.8,30,31,2,3,3,3
MHPR/MERFISH,MHPR_current_panel,stAI,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.4172408634578155,0.049937490352634235,0.6138078638310445,0.027060934638381027,0.6174785528361351,0.026837143686370038,0.6691319364432753,0.029033760530693446,15.4,30,31,3,1,1,1
MHPR/MERFISH,MHPR_current_panel,stPlus,raw_identity,protocol_a_completed_outer_fold_matrix,5,0.4300334835330658,0.04407378890941113,0.5919643082526023,0.02498607918318563,0.595100188520763,0.02472204123530689,0.6235878013830101,0.031767399104477775,12.2,30,31,1,2,2,2
