n_cells,n_input_features,n_selected_features,n_pcs,n_clusters,n_predicted_test_genes_participating,cluster_membership_sha256,ARI,AMI,NMI,homogeneity,dataset,dataset_id,fold,method,prediction_result_layer,matrix_mode,n_measured_train_genes,n_measured_validation_genes,n_predicted_test_genes_loaded
4975,154,154,30,11,31,4f638a0838a063755131290f6a2c43557726e8324ea813d3c79a85b05f651fbf,0.3518953424935869,0.5585766507484812,0.5616279511599215,0.5970387116571704,MHPR/MERFISH,MHPR_current_panel,2,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,12,31,0c698d11cea0ef2db8a80b8df91c7970dbeee2dd1d8c7d95b144809d4c71ee20,0.49900426725167146,0.590939125822925,0.5940605892897822,0.6188885984246785,MHPR/MERFISH,MHPR_current_panel,2,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,10,31,c9f31edc6ca873f9c75a0f08d19e046ebfea1809876db852aba62afcd67b06eb,0.44133503379627725,0.6075004171171946,0.609997761093397,0.6339891794724462,MHPR/MERFISH,MHPR_current_panel,2,stPlus,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,15,31,9861e985a9d9891f91e89ad8fe3ea9401636e3504d52da6d621ef90da99dabae,0.469726335774744,0.6317436866679108,0.6351527867782366,0.6884066961435354,MHPR/MERFISH,MHPR_current_panel,2,stAI,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,12,31,9da2f6be054399e9f5548e3c6e2a36ac626bb931489a60aeeea4aa4a10216dce,0.41410165227440326,0.58984302893144,0.5929959205239287,0.6199384555616649,MHPR/MERFISH,MHPR_current_panel,3,GeneSPT,validation_selected_readout_genespt57,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,ecfd1b0a0a2dd78293e5f7551c6bda5834ae83bc0ae90248f5f9f0569ec1644b,0.3472573748950828,0.5591791013254889,0.5627922275420323,0.6018590266847683,MHPR/MERFISH,MHPR_current_panel,3,Tangram,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,40c95d4e2fbb562332d16ec225aa8062e1a0cdd832705dffe519b74faa6ab4f7,0.44635002036338284,0.6119167825747263,0.6152256527499462,0.631124801253233,MHPR/MERFISH,MHPR_current_panel,3,TransImp,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,13,31,03d0c87fe3e1ac3f0137f9cc3e280ae322dc835369632104514c11caa96494e9,0.3662064203996901,0.5760395010927978,0.5795085835467108,0.6215509823922777,MHPR/MERFISH,MHPR_current_panel,3,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,15,31,0bda4e83cdd891a82eff259c47267ee465a0de7688056035fbe6662fd1949aa4,0.32090278140516043,0.5485191932854108,0.5526371727423415,0.6209999660582355,MHPR/MERFISH,MHPR_current_panel,3,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,14,31,284d112c063cf5b4fafc264bcd6ba1fd0bfbc2bb7c1c0d8cd987a0babe5bf5d0,0.40969434840435875,0.6066627833078897,0.610085866958247,0.6643906336929005,MHPR/MERFISH,MHPR_current_panel,3,stPlus,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,16,31,c37d0c73e8af9880bb676b3e99bfe99c5b44456f320c7c1ad66759bf2c10e4c2,0.4252882755343094,0.6255641572656864,0.6292377559911301,0.686869150367462,MHPR/MERFISH,MHPR_current_panel,3,stAI,raw_identity,protocol_a_completed_outer_fold_matrix,98,25,31
4975,154,154,30,9,30,886de50c00a80a1f4ff356f0cdc72007497b375d59e1f498f8cf52ee7afdb8cb,0.4272486362725757,0.5965717293486763,0.599012320211314,0.5788727444181839,MHPR/MERFISH,MHPR_current_panel,4,GeneSPT,validation_selected_readout_genespt57,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,13,30,b87f98e4f4e8dd90799dd1e706e5c2d2f13c448d88a0ae2b54b1e23c38e392d1,0.339828653953461,0.5606718762490106,0.5642730804458235,0.605535550201978,MHPR/MERFISH,MHPR_current_panel,4,Tangram,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,14,30,9e16fd24d187a51d1f8fa6191bc112512b566b79c31b28ed543f42553fc73d3a,0.44210946643913024,0.5837326806766127,0.5875480802105342,0.6071984043231767,MHPR/MERFISH,MHPR_current_panel,4,TransImp,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,11,30,4829a689f73917d8e20d88c9547bf56f0523ef940471c73668c7403cae53c965,0.3602262330400348,0.5552518348268176,0.5584356189579014,0.5696324375594973,MHPR/MERFISH,MHPR_current_panel,4,SpaIM,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,12,30,ac434ac8cd570487bee6d5e956790a264f6f84e7c0df10210c56988233cbfca2,0.4619761224748608,0.5876820853630093,0.5909176939758108,0.597207566885154,MHPR/MERFISH,MHPR_current_panel,4,SpaGE,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,12,30,423a310c87160ffc60139daf7ca2c17bf3740551bf7458793136896776c1b525,0.37289508453437964,0.575427195272715,0.5787006224170717,0.5920463732401771,MHPR/MERFISH,MHPR_current_panel,4,stPlus,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
4975,154,154,30,15,30,99096d1bc06f5791b53cde1fa5f6146fbd3d1f1be112eb7a6976a6d74b2a3467,0.438548495769769,0.6279571028069167,0.6314561979294419,0.6715698177134329,MHPR/MERFISH,MHPR_current_panel,4,stAI,raw_identity,protocol_a_completed_outer_fold_matrix,99,25,30
