dataset_label,dataset_id,role,spatial_units,shared_genes,processed_data_path,split_json_path,gene_index_mask_path,benchmark_methods,n_benchmark_method_fold_matrices,n_mechanism_matrix_rows,provenance_note
Vis9A,Vis9A_D7_spaim_effective4470,Primary,995,4470,processed_datasets/primary/Vis9A_D7_spaim_effective4470,frozen_splits/primary/Vis9A_D7_spaim_effective4470/split_json,frozen_splits/primary/Vis9A_D7_spaim_effective4470/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,70,Processed shared-gene Vis9A D7 panel. Spatial source GSE161318/GSM4904761; scRNA reference GSE159500/GSM4831163.
HBC,HBC_shared16112,Primary,4784,16112,processed_datasets/primary/HBC_shared16112,frozen_splits/primary/HBC_shared16112/split_json,frozen_splits/primary/HBC_shared16112/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,10,Processed shared-gene human breast cancer panel. Spatial section 1142243F from the public breast-cancer atlas; scRNA reference CID3586/GSE176078.
Cell2location mouse brain,Cell2location_mouse_brain_ST8059048_shared12819,Primary,2987,12819,processed_datasets/primary/Cell2location_mouse_brain_ST8059048_shared12819,frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/split_json,frozen_splits/primary/Cell2location_mouse_brain_ST8059048_shared12819/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,10,Processed Cell2location mouse brain Visium sample ST8059048 with scRNA counts from sc.h5ad.raw.X; gene columns use Ensembl IDs and symbol mapping is included.
seqFISH+ cortex/SVZ,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,Cross-platform,913,10000,processed_datasets/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,frozen_splits/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/split_json,frozen_splits/cross_platform/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,0,The cortex/SVZ spatial data follow the Eng et al./GiottoData route; the paired Zeisel SScortex reference traces to GEO GSE60361.
MHPR/MERFISH,MHPR_current_panel,Cross-platform,4975,154,processed_datasets/cross_platform/MHPR_current_panel,frozen_splits/cross_platform/MHPR_current_panel/split_json,frozen_splits/cross_platform/MHPR_current_panel/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,0,Processed mouse hypothalamic preoptic region MERFISH panel with public scRNA reference used in the benchmark.
MVC/STARmap,MVC_shared981,Cross-platform,1549,981,processed_datasets/cross_platform/MVC_shared981,frozen_splits/cross_platform/MVC_shared981/split_json,frozen_splits/cross_platform/MVC_shared981/gene_index_masks,GeneSPT;Tangram;TransImp;SpaIM;SpaGE;stPlus,30,0,Processed mouse visual cortex STARmap panel with Smart-seq/scRNA reference used in the benchmark.
