dataset,dataset_id,role,fold,method,candidate_count,selected_calibration,feature_kind,model_kind,target_mode,alpha,selection_rule,guard_pass,seed,test_prediction_accessed_before_lock,test_truth_accessed_before_lock,source_selection_lock_sha256,public_selection_lock_path,public_selection_lock_sha256,candidate_table_path
HBC,HBC_shared16112,primary,0,GeneSPT,57,pca32_nmf32_ridge_mean_only_alpha100,pca32_nmf32,ridge,mean_only,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,a37cbf37b3789d24f4e8811a5b7bdeb543a4126e19d78a36676dfa4577f99d0a,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold0/selection_lock_public.json,74c1ff86f21987bb497f2b3a5ff0fe82a5ffa429610502749f323eb5a42faec7,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold0/GeneSPT/validation_candidates.csv
HBC,HBC_shared16112,primary,0,GeneSPT-GC,57,nmf32_ridge_mean_only_alpha0.1,nmf32,ridge,mean_only,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,a37cbf37b3789d24f4e8811a5b7bdeb543a4126e19d78a36676dfa4577f99d0a,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold0/selection_lock_public.json,74c1ff86f21987bb497f2b3a5ff0fe82a5ffa429610502749f323eb5a42faec7,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold0/GeneSPT-GC/validation_candidates.csv
HBC,HBC_shared16112,primary,1,GeneSPT,57,nmf32_ridge_mean_only_alpha100,nmf32,ridge,mean_only,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,994221f8191d1593427859fed9e76f5cd917b39b9a4cd1c2b4b0e989b621edbd,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold1/selection_lock_public.json,349079ff90616e12544b315c74db2cc72371b7b418f959e3c6ca16a30d635aca,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold1/GeneSPT/validation_candidates.csv
HBC,HBC_shared16112,primary,1,GeneSPT-GC,57,pca32_ridge_mean_only_alpha1,pca32,ridge,mean_only,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,994221f8191d1593427859fed9e76f5cd917b39b9a4cd1c2b4b0e989b621edbd,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold1/selection_lock_public.json,349079ff90616e12544b315c74db2cc72371b7b418f959e3c6ca16a30d635aca,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold1/GeneSPT-GC/validation_candidates.csv
HBC,HBC_shared16112,primary,2,GeneSPT,57,pca32_nmf32_elasticnet_mean_only_alpha0.001,pca32_nmf32,elasticnet,mean_only,0.001,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,e1cf136f4a41d0712f903cdc0caf5f79db8be1ace2cd3d4ab6c0a852ca31d4d0,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold2/selection_lock_public.json,e5b20c2ded0006d964787939ffaffe71d0e8eb2394a601d56c921b470c80090b,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold2/GeneSPT/validation_candidates.csv
HBC,HBC_shared16112,primary,2,GeneSPT-GC,57,pca32_nmf32_ridge_affine_alpha100,pca32_nmf32,ridge,affine,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,e1cf136f4a41d0712f903cdc0caf5f79db8be1ace2cd3d4ab6c0a852ca31d4d0,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold2/selection_lock_public.json,e5b20c2ded0006d964787939ffaffe71d0e8eb2394a601d56c921b470c80090b,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold2/GeneSPT-GC/validation_candidates.csv
HBC,HBC_shared16112,primary,3,GeneSPT,57,pca32_nmf32_ridge_mean_only_alpha1,pca32_nmf32,ridge,mean_only,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,d7951a981f3926133077c99de235ba49c925c5f9aa357650ba2cd9830285a85f,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold3/selection_lock_public.json,93ceafa40d79576705ae681cfa79f6a7b779f0b7025e023cf3d57dba13abcfde,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold3/GeneSPT/validation_candidates.csv
HBC,HBC_shared16112,primary,3,GeneSPT-GC,57,nmf32_ridge_affine_alpha10,nmf32,ridge,affine,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,d7951a981f3926133077c99de235ba49c925c5f9aa357650ba2cd9830285a85f,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold3/selection_lock_public.json,93ceafa40d79576705ae681cfa79f6a7b779f0b7025e023cf3d57dba13abcfde,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold3/GeneSPT-GC/validation_candidates.csv
HBC,HBC_shared16112,primary,4,GeneSPT,57,nmf32_elasticnet_mean_only_alpha0.01,nmf32,elasticnet,mean_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,3f7ae79c6d0d89f4b08a66263c941baa924cf5eb1b5dbd7ce7fa591667cc2328,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold4/selection_lock_public.json,67af0f6ab0f4851372ee733e5576dfc354d95586e72f154b6fb2dc81362ae8ed,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold4/GeneSPT/validation_candidates.csv
HBC,HBC_shared16112,primary,4,GeneSPT-GC,57,pca32_ridge_affine_alpha100,pca32,ridge,affine,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,3f7ae79c6d0d89f4b08a66263c941baa924cf5eb1b5dbd7ce7fa591667cc2328,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold4/selection_lock_public.json,67af0f6ab0f4851372ee733e5576dfc354d95586e72f154b6fb2dc81362ae8ed,protocol_a_reproducibility/readout_selections/HBC_shared16112/fold4/GeneSPT-GC/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,0,GeneSPT,57,pca32_ridge_scale_only_alpha100,pca32,ridge,scale_only,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,9c1be22f61b212a913d5823ac5df0028f5051f0a7610673c1b9128501486172a,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold0/selection_lock_public.json,06aa069de8431c22dbff3c2589210712f9b3860c221a95787ef49a2d6f32820d,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold0/GeneSPT/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,0,GeneSPT-GC,57,nmf32_elasticnet_scale_only_alpha0.01,nmf32,elasticnet,scale_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,9c1be22f61b212a913d5823ac5df0028f5051f0a7610673c1b9128501486172a,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold0/selection_lock_public.json,06aa069de8431c22dbff3c2589210712f9b3860c221a95787ef49a2d6f32820d,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold0/GeneSPT-GC/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,1,GeneSPT,57,nmf32_ridge_scale_only_alpha10,nmf32,ridge,scale_only,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,dfea8294f3795d548fdc12cf53a0d103693bbd1de4948b4384903f269fd75ab9,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold1/selection_lock_public.json,b38e69ebb1f33c542d2427667b59d2ef5d1b12f774357423cd2e274491141abc,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold1/GeneSPT/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,1,GeneSPT-GC,57,pca32_ridge_scale_only_alpha1,pca32,ridge,scale_only,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,dfea8294f3795d548fdc12cf53a0d103693bbd1de4948b4384903f269fd75ab9,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold1/selection_lock_public.json,b38e69ebb1f33c542d2427667b59d2ef5d1b12f774357423cd2e274491141abc,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold1/GeneSPT-GC/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,2,GeneSPT,57,pca32_ridge_scale_only_alpha10,pca32,ridge,scale_only,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,5f6020a4575687568a2596a9016f15c593a060ae3028d28c613998e3f51123bc,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold2/selection_lock_public.json,d4e9ea6d87f0a615d6f6573f692e4d057ee8fd20a3f10c9a9003abf7af52fbfd,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold2/GeneSPT/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,2,GeneSPT-GC,57,pca32_ridge_scale_only_alpha0.1,pca32,ridge,scale_only,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,5f6020a4575687568a2596a9016f15c593a060ae3028d28c613998e3f51123bc,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold2/selection_lock_public.json,d4e9ea6d87f0a615d6f6573f692e4d057ee8fd20a3f10c9a9003abf7af52fbfd,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold2/GeneSPT-GC/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,3,GeneSPT,57,pca32_nmf32_ridge_scale_only_alpha0.1,pca32_nmf32,ridge,scale_only,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,e4cc362ea812b32612c1462e193285c5c447c76f69a9c3911e84b7852eccb1b5,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold3/selection_lock_public.json,2f041eb2452535d0dba2dc813ec755833b3eb8981efcbbfb4a13ffcbc4ed6d73,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold3/GeneSPT/validation_candidates.csv
